stagename,award,awyear
G.M. Anderson,AA,1957
Fred Astaire,AFI,1957
Lauren Bacall,AFI,1957
Lauren Bacall,AP,1957
Warren Beatty,TMA,2000
Ralph Bellamy,AA,1986
Ingrid Bergman,AFI,1986
Humphrey Bogart,AFI,1986
Humphrey Bogart,AP,1986
Marlon Brando,AFI,1986
Jimmy Cagney,AFI,1986
Charlie Chaplin,AA,1971
Charlie Chaplin,AFI,1971
Claudette Colbert,AFI,1971
Sean Connery,BFA,1971
Gary Cooper,AA,1960
Gary Cooper,AFI,1960
Joan Crawford,AFI,1960
Bette Davis,AFI,1960
Jimmy Dean,AFI,1960
Marlene Dietrich,MMA,1959
Marlene Dietrich,AFI,1959
Kirk Douglas,AFI,1996
Douglas Fairbanks~sr,AP,1996
Douglas Fairbanks~jr.,AA,1939
Henry Fonda,AA,1982
Henry Fonda,AFI,1982
Clark Gable,AFI,1982
Greta Garbo,AA,1955
Greta Garbo,AFI,1955
Ava Gardner,AFI,1955
Judy Garland,AFI,1955
Lillian Gish,AFI,1955
Cary Grant,AA,1969
Cary Grant,AFI,1969
Alec Guinness,AA,1980
Jean Harlow,AFI,1980
Rita Hayworth,AFI,1980
Audrey Hepburn,AFI,1980
Katherine Hepburn,AFI,1980
Katherine Hepburn,AP,1980
William Holden,AFI,1980
Burl Ives,AA,1980
Buster Keaton,AFI,1980
Gene Kelly,AA,1951
Gene Kelly,AFI,1951
Grace Kelly,AFI,1951
Deborah Kerr,AA,1994
Burt Lancaster,AFI,1994
Laurel and Hardy,AP,1994
Vivien Leigh,AFI,1994
Jack Lemmon,AFI,1994
Carole Lombard,AFI,1994
Sophia Loren,AFI,1994
Myrna Loy,AA,1991
Shirley MacLaine,AA,1998
Barton MacLane,,1998
Groucho Marx,AA,1947
Marx Brothers,AFI,1947
Robert Mitchum,AFI,1947
Marilyn Monroe,AFI,1947
Mickey Mouse,AP,1947
Paul Newman,AA,1986
Paul Newman,Hersholt,1994
Jack Nicholson,AP,1994
Laurence Olivier,AA,1979
Laurence Olivier,AFI,1979
Gregory Peck,AFI,1979
Michelle Pfeiffer,NYFCC,1979
Mary Pickford,AFI,1979
Sidney Poitier,AA,2002
Sidney Poitier,AFI,2002
Edward G. Robinson,AFI,2002
Jean Rogers,AFI,2002
Arnold Schwarzenegger,AP,2002
Barbara Stanwyck,AA,1982
Barbara Stanwyck,LAA,1987
Barbara Stanwyck,AFI,1987
James Stewart,AFI,1987
Meryl Streep,AP,1987
Jessica Tandy,Emmy,1988
Elizabeth Taylor,AFI,1988
Shirley Temple,AFI,1988
Spencer Tracy,AFI,1988
John Wayne,AFI,1988
Orson Welles,AFI,1988
Mae West,AFI,1988