stagename,award
G.M. Anderson,AA
Fred Astaire,AFI
Lauren Bacall,AFI
Lauren Bacall,AP
Warren Beatty,TMA
Ralph Bellamy,AA
Ingrid Bergman,AFI
Humphrey Bogart,AFI
Humphrey Bogart,AP
Marlon Brando,AFI
Jimmy Cagney,AFI
Charlie Chaplin,AA
Charlie Chaplin,AFI
Claudette Colbert,AFI
Sean Connery,BFA
Gary Cooper,AA
Gary Cooper,AFI
Joan Crawford,AFI
Bette Davis,AFI
Jimmy Dean,AFI
Marlene Dietrich,MMA
Marlene Dietrich,AFI
Kirk Douglas,AFI
Douglas Fairbanks~sr,AP
Douglas Fairbanks~jr.,AA
Henry Fonda,AA
Henry Fonda,AFI
Clark Gable,AFI
Greta Garbo,AA
Greta Garbo,AFI
Ava Gardner,AFI
Judy Garland,AFI
Lillian Gish,AFI
Cary Grant,AA
Cary Grant,AFI
Alec Guinness,AA
Jean Harlow,AFI
Rita Hayworth,AFI
Audrey Hepburn,AFI
Katherine Hepburn,AFI
Katherine Hepburn,AP
William Holden,AFI
Burl Ives,AA
Buster Keaton,AFI
Gene Kelly,AA
Gene Kelly,AFI
Grace Kelly,AFI
Deborah Kerr,AA
Burt Lancaster,AFI
Laurel and Hardy,AP
Vivien Leigh,AFI
Jack Lemmon,AFI
Carole Lombard,AFI
Sophia Loren,AFI
Myrna Loy,AA
Shirley MacLaine,AA
Barton MacLane,
Groucho Marx,AA
Marx Brothers,AFI
Robert Mitchum,AFI
Marilyn Monroe,AFI
Mickey Mouse,AP
Paul Newman,AA
Paul Newman,Hersholt
Jack Nicholson,AP
Laurence Olivier,AA
Laurence Olivier,AFI
Gregory Peck,AFI
Michelle Pfeiffer,NYFCC
Mary Pickford,AFI
Sidney Poitier,AA
Sidney Poitier,AFI
Edward G. Robinson,AFI
Jean Rogers,AFI
Arnold Schwarzenegger,AP
Barbara Stanwyck,AA
Barbara Stanwyck,LAA
Barbara Stanwyck,AFI
James Stewart,AFI
Meryl Streep,AP
Jessica Tandy,Emmy
Elizabeth Taylor,AFI
Shirley Temple,AFI
Spencer Tracy,AFI
John Wayne,AFI
Orson Welles,AFI
Mae West,AFI