name,studio_company,country,city,founder,successor,fddate,enddate
Phenakistiscope,,France,Paris,,,1832,
Zootrope,,Great Britain,,,,1834,
Phenakistiscope,,France,Paris,,L'anorthoscope,1835,
L'anorthoscope,,France,Paris,,,1836,
Photobioscope,,,,,,1867,
Pocket Kinematograph,,,,,,1868,
Zootrope,,France,Paris,,,1876,
Thaumatrope,,France,Paris,,,1877,
Life Projection Wheel?,,USA,Stanford CA,,,1880,
Schnellseher,,Germany,,,,1887,
Praxinoscope,,France,,,,1876,
Projection-Praxinoscope,,France,,,,1881,1882
Film Camera,,Germany,,,,1889,
35mm Film Camera,Edison,USA,New Jersey,,,1893,
Kinetoscope,Edison,USA,,,,1894,
Practical Projectors,Lumiere Fr.,France,Lyon,,,1895,
Vitascope? Projectors,Vitascope,USA,New York,,,1895,
Practical Projectors,M.Skladanowsky,Germany,Berlin,,,1895,
Phakinescope,,,,,,1896,
Selig Polyscope,Selig,USA,Chicago,,,1896,
Stereo-Praxinoscope,,France,,,,1902,
Skladanowsky,M. and E. Skladanowsky,Germany,Wintergarten Berlin,,,1895,
Lumiere,Lumiere Fr.,France,Grand Cafe Paris,,,1895,
Latham,"O.G. W.Latham",USA,New York,,,1895,
Dickson,W. Dickson,USA,New York,,,1895,
Pathe,Pathe Cinema SA,France,Paris,,,1902,1946
Cines,,Italy,Rome,,,1906,
Vitascope,,USA,,,,1908,
Edison,Edison Company,USA,New York,,,1904,
Essanay,George K.Spoor,USA,Chicago,,,1907,
MPP,Motion Picture Patents Co.,USA,Los Angeles,,General Film,1909,1915
IMP,Independent Motion Picture Co.,USA,New York,,Universal,1909,1912
IMP 2,Independent Motion Picture Co.,Cuba,,,,,
AFM,American Film Manufacturing,Canada,,,,1910,
Ebony,Ebony Motion Picture Co.,USA,Chicago,,,,
General Film,MPP,,,,,1910,
Great Northern,Nordisk Films Company,Denmark,,,,1911,1915
Chrystal,,USA,Bronx,,,1912,
Ambrosio,Societa Anonima Ambrosio,Italy,Turin,Arturo Ambrosio,,1912,1917
Eclair,,France,,,,1912,
Eclair 2,Eclair,USA,Ft.Lee NJ,,,1912,
MPSA,Motion Pictures Sales Agency Ltd,England,London,,,1913,
Artistica Gloria,,Italy,Turin,,,1913,
Famous,Famous Players,USA,New York,Adolph Zukor,Paramount,1913,1918
New York,New York Motion Pictures Company,USA,New York,,,1914,
Union,Union Film Produktion,Germany,Berlin,,UFA,1914,1917
World,World Film Corp.,USA,,,,1915,
Triangle,Triangle,USA,New York,Harry Aitkins,Paramount,1915,1917
Feature Play,Jesse L.~Lasky Feature Play Company,USA,New York,Lasky,Famous Players,1913,1916
Paramount,Paramount Corp.,USA,Los Angeles,William Wadworth Hodkinson,Paramount,1916,1993
Pickford,Pickford Film Corp.,USA,,Mary Pickford,,1917,1920
First National,First National,USA,,J.D. Williams,Warners,1917,1920
Chaplin,Chaplin Studios,USA,Los Angeles,Chaplin,,1918,1919
Standard,Standard Film Corp,USA,,,,1919,
FPL,Famous Players Lasky,USA,Los Angeles,,Paramount,1918,1920
PFL,Paramount Famous Lasky,USA,Los Angeles,,,1928,1994
UFA,Universum Film AG,Germany,Neubabelsberg,,,1917,1933
U.A.,United Artists,USA,Hollywood,Chaplin,MGM,1919,1983
Cineromans,Cineromans,France,Nice,Gaston Leroux,,1919,1922
Goldwyn,Goldwyn Pictures,USA,West Hollywood,Sam Goldwyn,MGM,1922,1934
Biograph,W.D.Griffith,USA,,,,1903,1910
Griffith,W.D.Griffith,USA,Mamaroneck NY,,,1920,1935
MGM,Metro-Goldwyn-Mayer,USA,Culver City,,,1920,1935
Victory,Victory Films,England,Birmingham,Bacon,,1920,1922
Famous,Famous Players,England,Islington,,,1921,1922
Seven Arts,,,,,Warners,,1961
Universal,Universal Studios,USA,North Hollywood,Carl Laemmle,MCA,1921,1962
Lubitsch,Lubitsch Film Produktion,Germany,Berlin,Ernst Lubitsch,UFA,1922,
Wardour,Wardour F.,England,Islington,,,1922,
B-S-F,Balcon-Saville-Freedman,England,Islington,,,1922,
Warners,Warner Bros.,USA,Burbank,,Time Inc.,1923,1990
Columbia,Columbia Pictures,USA,Burbank,,Sony,1924,1990
Gainsborough,Gainsborough,England,,Bacon,,1924,
Merabpomfilm,Mev rabpomfilm,Russia,Moscow,,,1924,1931
Prometheus,Int.Arbeiterhilfe,Germany,,,,1926,1929
Lion,British Lion,Great Britain,London,,EMI,1925,1976
Emelka,,Germany,Munich,,,1925,
Vitaphone,Warners and Western Electric,USA,,,Sound on Disk,1926,1931
PRC (1),Producers Releasing Corporation,,,,Eagle Lion,1930,1947
Elstree,British International Pictures,England,Elstree,,,1927,
RKO,RKO Radio,USA,Hollywood,,DesiLu,1929,1955
Allied,Allied Artists,USA,Los Angeles,,,1930,1994
Nero,Nero Film A.G.,Germany,Berlin,,,1928,1940
Paris,,France,Paris,,,1932,1948
Goldwyn,Sam Goldwyn Productions,USA,,Sam Goldwyn,,1932,1947
ATP,Associated Talking Pictures,England,,Basil Dean,,1932,
Lime Grove,Gaumont British,England,,,,1933,
20th Cent.,Twentieth Century,Canada,Hollywood,Darryl F. Zanuck,,1933,
London,London Films - Korda,England,London,,,1933,
UFA,UFI,Germany,Neubabelsberg,,,1933,1962
20th Cent.,20th Century Productions,USA,Century City,Darryl F. Zanuck,,1933,1935
Reliance,,USA,Los Angeles,,,1934,
GFD,Gaumont British,England,,,,1934,
Monogram,Allied Artists,USA,Hollywood,,Allied Artists,1934,1953
Republic,Republic Film Corporation,USA,"San Fernando; Hollywood",Herbert J. Yates,Blockbuster,1935,1959
Fox,20th Cent.Fox,USA,Century City,,,1935,1994
MGM,Metro-Goldwyn-Mayer,USA,,,MGM,1935,1983
UFI,Nazi Government,Germany,,,,1936,
Korda,Korda,England,Denham,Korda,Rank,1936,195x
Selznick,,USA,Hollywood,,,1936,1944
Pinewood,Gainsborough,England,,,,1937,
Cinetone,NV Filmex,Holland,Amsterdam,Rudolf Meyer,,1937,1940
First National,Warner Brothers,USA,,,,1939,
Teddington,"Warner Brothers; First National",England,London,,,1931,1952
NEF,Novelles Editions Francaises,France,Paris,J. Renoir,,1939,
ENSA,Entertainment National Service Association,England,,Basil Dean,,1940,1945
Roach,Roach Studios,USA,Hollywood,Hal Roach,,,
DEFA,D.R.Germany,Germany,Berlin,,,1946,1994
Eagle Lion,Eagle Lion,,,,UFA,1947,1951
New World,,Italy,Rome,,,,1994
Transatlantic,Transatlantic,England,London,Hitchcock,,1948,1949
ARC,American Releasing Corporation,USA,Palo Alto,Samuel Z. Arkoff,AIP,1954,1956
AIP,American International Pictures,USA,,,Filmways,1956,1980
Filmgroup,American International Pictures,USA,,,,1956,1980
Trans-American,American International Pictures,USA,,,,1956,1980
Hallmark,American International Pictures,USA,,,,1956,1980
UFA 2,"UFA; F.R.Germany",Germany,Babelsberg,,,1962,1971
Revue,MCA,USA,Universal City,,Seagram,1959,
Malpaso,Malpaso Productions,USA,Hollywood,Clint Eastwood,,1968,
NFDC,National Film Development Corp.,India,New Delhi,,,1970,
Zoetrope,Warners,USA,San Francisco,Francis Ford Coppola,,1970,
UFA,Bertelsmann,Germany,Babelsberg,,,1971,1994
Box Office,Box Office International,France,,,,1972,
Paramount,GulfWestern Corp,USA,Los Angeles,,,,1994
Golden Harvest,Golden Harvest Studio,China,Hong Kong,,,1972,1994
Cathay,Cathay Film Company,China,Hong Kong,,,1972,1994
Producers Distr.Corp,,USA,,,PRC,,1940
PRC,Pathe,USA,,,Eagle Lion,1940,1949
London Films,,England,London,Korda,,1945,1994
Pathe 2.0,Pathe Communications,Italy,,Pathe,,1946,1994
Eagle Lion,Rank,,,,UFA,1949,1950
Biograph,,USA,The Bronx,,,194x,
FilmMakers,Film Makers,USA,,Ida Lupino,,1950,1956
Woodfall,Woodfall Productions,Great Britain,,Saltzman,,1956,1960
MGM British,Metro-Goldwyn-Mayer,England,Elstree,,,1949,
Astor,indep,USA,,,,195x,195x
Howco,indep,USA,,,,195x,195x
Lippert,indep,USA,,,,195x,195x
RealArt,indep,USA,,,,195x,195x
UGC,Union Generale Cinamatographique,France,,,,1950,
Condor,Deutsche Condor Film GmbH,Germany,Munchen,,,1956,1994
laPleiade,Films de la Pleiade,France,,,,1960,
MCA,,USA,,,Matsushita,1959,1990
Filmservice,,USA,Los Angeles,,,1960,
Shamley,,USA,Los Angeles,,,1960,
Film House,The Film House,Australia,Melbourne,Schepisi,,1965,1994
Carosse,Films du Carosse,France,Paris,Truffaut,,1961,1984
Essexe,Essex Productions,USA,,Frank Sinatra,,1965,
Bavaria,Bavaria Atelier,Germany,Munchen,,,1968,1972
NWP,New World Pictures,USA,Hollywood,Corman,,1970,1994
Fantasy,,USA,Berkely CA,Saul Saentz,,1970,1994
Todrest,,France,,,,1981,
Xian Film Studios,Xian Film,China,Xian Shaanxi,,,1983,
MGM-U.A,MGM-U.A. Communications Co.,USA,Hollywood,Kirk Kerkorian,,1983,1990
Paulist,Paulist Pictures,USA,Malibu CA,Ellwood Bud,,1988,
Granada,,England,,Sid,,,1994
Carolco,,USA,North-carolina,,,,1994
Thames,,England,,,,,1994
Double,Double Head,Australia,,,,1975,1994
Orion,Orion,USA,,,MGM,1978,1997
Filmways,Filmways,USA,,,Orion,1980,1981
Miramax,,USA,,Weinstein,,1980,
Cobra,Cobra Filmproduktion,Germany,,,,,
Lorimar,,USA,,Lee Rich,,1980,1994
Buena Vista,Disney,USA,,,,1980,1994
Galaxie,Les Films Galaxie,France,,,,1981,
Lee Rich,"Lee Rich Productions; Warners",USA,,Lee Rich,,1983,1994
TriStar,Tri-Star Pictures Inc.,USA,,,TriStar,1985,1990
NewLine,New Line Cinema,USA,,,Turner,1989,1994
Gracie,,USA,Hollywood,J.L. Brooks,,1989,1994
CastleRock,,USA,,Rob Reiner,Turner,1989,1994
Caravan,,USA,,,Roth,1990,1994
MCA,Matsushita,USA,,,,1990,1994
Warners,Time-Warner,USA,Burbank,,,1990,1994
Universal,"MCA; Matsushita",Japan,Osaka,,,1992,1994
Taksen,,France,Joinville,,,,1994
Columbia,Sony Software Corp,USA,Burbank,,,1990,1994
TriStar,Sony Software Corp,USA,,,,1990,1994
Vivid,Vivid Video,USA,Los Angeles,Steven Hirsch,,1990,1998
Wicked,,USA,Los Angeles,,,1990,1998
VCA,,USA,Los Angeles,,,1990,1998
Metro,,USA,Los Angeles,,,1990,1998
Regency,Regency Enterprises,,,Arnon Milchan,,1991,1998
Paramount,Viacom Corp.,USA,Los Angeles,,,1993,1994
Turner,Turner Broadcasting,USA,Hollywood,Ted Turner,,1993,1994
Graniet,Graniet Film,Netherlands,,Van Warmerdam,,1993,1998
Pixar,Pixar Animation Studios,USA,Hollywood,Steve Jobs,,1995,
Miramax,Miramx,USA,Hollywood,,,1996,
Dimension,Dimension,USA,Hollywood,,,1996,
Gregory,Gregory Productions,USA,,,,1996,
Jagged,Jagged Films,USA,,,,1998,
LionsGate,Lions Gate Releasiung,USA,,,,1998,